leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NJL000002,Nelson T Albano,Nelson,T,Albano,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/albano_color.jpg,2010-11-29 19:07:02.454000,2014-01-16 16:34:49.682000
NJL000003,Matthew W Milam,Matthew,W,Milam,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/milam_color.jpg,2010-11-29 19:07:02.456000,2013-03-27 15:29:28.765000
NJL000005,John F Amodeo,John,F,Amodeo,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/amodeo_color.jpg,2010-11-29 19:07:02.460000,2014-01-16 16:34:49.686000
NJL000006,Vincent J Polistina,Vincent,J,Polistina,,,False,nj,,,,,2010-11-29 19:07:02.461000,2012-01-12 22:01:34.441000
NJL000009,Celeste M Riley,Celeste,M,Riley,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/riley_color.jpg,2010-11-29 19:07:02.467000,2015-05-29 21:25:32.270000
NJL000012,Domenick DiCicco Jr.,Domenick,,DiCicco,Jr.,,False,nj,,,,,2010-11-29 19:07:02.472000,2012-01-12 22:01:34.425000
NJL000013,Donald Norcross,Donald,,Norcross,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/norcross_color.jpg,2010-11-29 19:07:02.474000,2015-04-23 20:12:51.380000
NJL000014,Gilbert L. Wilson,Gilbert,L.,Wilson,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/wilson_color.jpg,2010-11-29 19:07:02.475000,2015-12-11 22:51:12.594000
NJL000016,Angel Fuentes,Angel,,Fuentes,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/fuentes_color.jpg,2010-11-29 19:07:02.479000,2015-12-11 22:49:44.354000
NJL000021,Jack Conners,Jack,,Conners,,,False,nj,,,,,2010-11-29 19:07:02.488000,2012-01-12 22:01:34.456000
NJL000023,Philip E Haines,Philip,E,Haines,,,False,nj,,,,,2010-11-29 19:07:02.492000,2012-01-12 22:01:34.459000
NJL000025,Scott Rudder,Scott,,Rudder,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/rudder_color.jpg,2010-11-29 19:07:02.495000,2014-01-16 16:34:49.694000
NJL000029,Andrew R Ciesla,Andrew,R,Ciesla,,,False,nj,,,,,2010-11-29 19:07:02.527000,2012-01-12 22:01:34.466000
NJL000034,Mary Pat Angelini,Mary,Pat,Angelini,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/angelini_color.jpg,2010-11-29 19:07:02.536000,2016-01-15 05:02:32.717000
NJL000037,Caroline Casagrande,Caroline,,Casagrande,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/casagrande_color.jpg,2010-11-29 19:07:02.541000,2016-01-15 05:02:32.707000
NJL000041,Bill Baroni,Bill,,Baroni,,,False,nj,,,,,2010-11-29 19:07:02.548000,2012-01-12 22:01:34.461000
NJL000042,Thomas Goodwin,Thomas,,Goodwin,,,False,nj,,,,,2010-11-29 19:07:02.550000,2012-01-12 22:01:34.479000
NJL000046,Bonnie Watson Coleman,Bonnie,,Watson Coleman,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/watson_coleman_color.jpg,2010-11-29 19:07:02.557000,2015-07-08 20:20:54.514000
NJL000049,Peter J Biondi,Peter,J,Biondi,,,False,nj,,,,,2010-11-29 19:07:02.562000,2012-01-12 22:01:34.416000
NJL000050,Denise M Coyle,Denise,M,Coyle,,,False,nj,,,,,2010-11-29 19:07:02.564000,2012-01-12 22:01:34.427000
NJL000053,Upendra J Chivukula,Upendra,J,Chivukula,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/chivukula_color.jpg,2010-11-29 19:07:02.570000,2014-10-23 20:16:53.177000
NJL000054,Barbara Buono,Barbara,,Buono,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/buono_color.jpg,2010-11-29 19:07:02.571000,2014-01-16 16:34:49.696000
NJL000056,Peter J Barnes III,Peter,J,Barnes,III,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/barnes_color.jpg,2010-11-29 19:07:02.575000,2016-05-11 20:11:34.445000
NJL000061,Joseph Cryan,Joseph,,Cryan,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/cryan_color.jpg,2010-11-29 19:07:02.584000,2015-04-23 20:40:53.994000
NJL000067,Linda Stender,Linda,,Stender,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/stender_color.jpg,2010-11-29 19:07:02.614000,2016-01-15 05:02:32.725000
NJL000073,Gary R Chiusano,Gary,R,Chiusano,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/chiusano_color.jpg,2010-11-29 19:07:02.625000,2013-03-27 15:34:00.302000
NJL000074,Alison Littell McHose,Alison,Littell,McHose,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/mchose_color.jpg,2010-11-29 19:07:02.627000,2015-12-11 22:48:20.783000
NJL000079,Alex DeCroce,Alex,,DeCroce,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/decroce_color.jpg,2010-11-29 19:07:02.636000,2012-07-11 21:59:57.264000
NJL000088,L. Grace Spencer,L.,Grace,Spencer,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/spencer_color.jpg,2010-11-29 19:07:02.681000,2016-07-27 22:41:32.342000
NJL000089,Albert Coutinho,Albert,,Coutinho,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/coutinho_color.jpg,2010-11-29 19:07:02.683000,2013-11-19 17:22:03.439000
NJL000091,Joseph R Malone II,Joseph,R,Malone,II,,False,nj,,,,,2010-11-29 19:07:02.686000,2012-01-12 22:01:34.452000
NJL000094,Anthony Chiappone,Anthony,,Chiappone,,,False,nj,,,,,2010-11-29 19:07:02.692000,2012-01-12 22:01:34.473000
NJL000095,Charles Mainor,Charles,,Mainor,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/mainor_color.jpg,2010-11-29 19:07:02.693000,2016-01-15 05:02:32.732000
NJL000096,Jason O'Donnell,Jason,,O'Donnell,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/odonnell_color.jpg,2010-11-29 19:07:02.695000,2016-01-15 05:02:32.729000
NJL000098,Joan M Quigley,Joan,M,Quigley,,,False,nj,,,,,2010-11-29 19:07:02.699000,2012-01-12 22:01:34.429000
NJL000101,Ruben J Ramos Jr.,Ruben,J,Ramos,Jr.,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/ramos_color.jpg,2010-11-29 19:07:02.704000,2014-01-16 16:34:49.687000
NJL000102,Caridad Rodriguez,Caridad,,Rodriguez,,,False,nj,,,,,2010-11-29 19:07:02.706000,2012-01-12 22:01:34.421000
NJL000106,John A Girgenti,John,A,Girgenti,,,False,nj,,,,,2010-11-29 19:07:02.713000,2012-01-12 22:01:34.468000
NJL000108,Elease Evans,Elease,,Evans,,,False,nj,,,,,2010-11-29 19:07:02.717000,2012-01-12 22:01:34.445000
NJL000110,Frederick Scalera,Frederick,,Scalera,,,False,nj,,,,,2010-11-29 19:07:02.720000,2012-01-12 22:01:34.423000
NJL000116,Joan M Voss,Joan,M,Voss,,,False,nj,,,,,2010-11-29 19:07:02.731000,2012-01-12 22:01:34.443000
NJL000117,Connie Wagner,Connie,,Wagner,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/wagner_color.jpg,2010-11-29 19:07:02.732000,2013-11-19 17:24:04.044000
NJL000119,Charlotte Vandervalk,Charlotte,,Vandervalk,,,False,nj,,,,,2010-11-29 19:07:02.736000,2012-01-12 22:01:34.434000
NJL000120,Robert Schroeder,Robert,,Schroeder,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/schroeder_color.jpg,2010-11-29 19:07:02.738000,2014-01-16 16:34:49.693000
NJL000123,Scott T Rumana,Scott,T,Rumana,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/rumana_color.jpg,2010-11-29 19:07:02.743000,2017-02-18 01:56:56.556000
NJL000126,Patrick Delany,Patrick,,Delany,,,False,nj,,,,,2010-12-15 19:48:39.178000,2012-01-12 22:01:34.477000
NJL000127,Kevin J. Ryan,Kevin,J.,Ryan,,,False,nj,,,,,2011-01-06 19:55:58.398000,2012-01-12 22:01:34.409000
NJL000130,Gerry Nardello,Gerry,,Nardello,,,False,nj,,,,,2011-11-22 00:47:05.517000,2012-01-12 22:01:34.418000
NJL000132,Douglas H. Fisher,Douglas,H.,Fisher,,,False,nj,,,,,2012-01-10 16:42:26.776000,2012-01-10 16:42:28.595000
NJL000133,Sandra Love,Sandra,,Love,,,False,nj,,,,,2012-01-10 16:42:26.824000,2012-01-10 16:42:28.606000
NJL000134,Dana L. Redd,Dana,L.,Redd,,,False,nj,,,,,2012-01-10 16:42:26.841000,2012-01-10 16:42:28.631000
NJL000135,Joseph J. Roberts Jr.,Joseph,J.,Roberts,Jr.,,False,nj,,,,,2012-01-10 16:42:26.853000,2012-01-10 16:42:28.622000
NJL000137,John H. Adler,John,H.,Adler,,,False,nj,,,,,2012-01-10 16:42:26.877000,2012-01-10 16:42:28.633000
NJL000138,Daniel M. Van Pelt,Daniel,M.,Van Pelt,,,False,nj,,,,,2012-01-10 16:42:26.991000,2012-01-10 16:42:28.625000
NJL000139,Joseph Vas,Joseph,,Vas,,,False,nj,,,,,2012-01-10 16:42:27.521000,2012-01-10 16:42:28.542000
NJL000140,Neil M. Cohen,Neil,M.,Cohen,,,False,nj,,,,,2012-01-10 16:42:27.551000,2012-01-10 16:42:28.557000
NJL000141,Eric Munoz,Eric,,Munoz,,,False,nj,,,,,2012-01-10 16:42:27.599000,2012-01-10 16:42:28.559000
NJL000142,Leonard Lance,Leonard,,Lance,,,False,nj,,,,,2012-01-10 16:42:27.647000,2012-01-10 16:42:28.629000
NJL000143,Marcia A. Karrow,Marcia,A.,Karrow,,,False,nj,,,,,2012-01-10 16:42:27.668000,2012-01-10 16:42:28.627000
NJL000146,Richard A. Merkt,Richard,A.,Merkt,,,False,nj,,,,,2012-01-10 16:42:27.766000,2012-01-10 16:42:28.593000
NJL000147,L. Harvey Smith,L.,Harvey,Smith,,,False,nj,,,,,2012-01-10 16:42:27.936000,2012-01-10 16:42:28.597000
NJL000148,John E. Rooney,John,E.,Rooney,,,False,nj,,,,,2012-01-10 16:42:28.148000,2012-01-10 16:42:28.599000
NJL000150,Christopher J. Brown,Christopher,J.,Brown,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/brown_c_j_color.jpg,2012-01-12 22:01:32.872000,2016-01-15 05:02:32.737000
NJL000162,Sean Connors,Sean,,Connors,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/connors_sean_color.jpg,2012-01-12 22:01:33.886000,2014-01-16 16:34:49.689000
NJL000169,Donna M. Simon,Donna,M.,Simon,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/simon_color.jpg,2012-01-31 00:14:31.504000,2016-01-15 05:02:32.721000
NJL000178,Paul J. Contillo,Paul,J.,Contillo,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/,2013-11-19 00:43:47.537000,2014-01-16 16:34:49.691000
NJL000180,Carmelo G. Garcia,Carmelo,G.,Garcia,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/garcia_color.jpg,2014-01-16 16:34:48.159000,2016-01-15 05:02:32.735000
NJL000186,Samuel L. Fiocchi,Samuel,L.,Fiocchi,,,False,nj,,,,http://www.njleg.state.nj.us/members/memberphotos/fiocchi_color.jpg,2014-01-16 16:34:49.281000,2016-01-15 05:02:32.702000
NJL000008,John J. Burzichelli,John J.,,Burzichelli,,,True,nj,lower,3,Democratic,http://www.njleg.state.nj.us/members/memberphotos/burzichelli_color.jpg,2010-11-29 19:07:02.465000,2017-06-01 04:03:42.530000
NJL000011,Paul D Moriarty,Paul D.,D,Moriarty,,,True,nj,lower,4,Democratic,http://www.njleg.state.nj.us/members/memberphotos/moriarty_color.jpg,2010-11-29 19:07:02.470000,2017-06-01 04:03:42.731000
NJL000018,Pamela R Lampitt,Pamela R.,R,Lampitt,,,True,nj,lower,6,Democratic,http://www.njleg.state.nj.us/members/memberphotos/lampitt_color.jpg,2010-11-29 19:07:02.483000,2017-06-01 04:03:42.775000
