leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
GAL000002,Don Balfour,Don,,Balfour,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/BalfourDon2.jpg,2011-10-07 20:03:09.852000,2015-01-06 21:49:55.194000
GAL000003,Charlie Bethel,Charlie,,Bethel,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/BethelCharlie753.jpg,2011-10-07 20:03:09.877000,2016-12-27 23:52:24.575000
GAL000004,John Bulloch,John,,Bulloch,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/BullochJohn4.jpg,2011-10-07 20:03:09.888000,2013-02-12 14:49:24.076000
GAL000006,Buddy Carter,Buddy,,Carter,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/CarterEarl77.jpg,2011-10-07 20:03:09.909000,2015-01-06 21:49:55.181000
GAL000007,Jason Carter,Jason,,Carter,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/CarterJason720.jpg,2011-10-07 20:03:09.920000,2015-01-06 21:49:55.191000
GAL000008,Ronnie Chance,Ronnie,,Chance,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/ChanceRonnie7.jpg,2011-10-07 20:03:09.930000,2015-01-06 21:49:55.184000
GAL000010,John Crosby,John,,Crosby,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/CrosbyJohn721.jpg,2011-10-07 20:03:09.959000,2015-01-06 21:49:55.182000
GAL000012,Hardie Davis,Hardie,,Davis,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/DavisHardie89.jpg,2011-10-07 20:03:09.981000,2015-01-06 21:49:55.187000
GAL000015,Greg Goggans,Greg,,Goggans,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/GoggansGreg13.jpg,2011-10-07 20:03:10.016000,2013-01-09 00:02:34.374000
GAL000016,Tim Golden,Tim,,Golden,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/GoldenTim14.jpg,2011-10-07 20:03:10.027000,2015-01-06 21:49:55.193000
GAL000018,Johnny Grant,Johnny,,Grant,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/GrantJohnny15.jpg,2011-10-07 20:03:10.047000,2013-01-09 00:02:34.118000
GAL000019,Bill Hamrick,Bill,,Hamrick,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/HamrickBill16.jpg,2011-10-07 20:03:10.057000,2013-01-09 00:02:34.107000
GAL000024,Judson Hill,Judson,,Hill,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/HillJudson23.jpg,2011-10-07 20:03:10.141000,2017-06-01 06:26:09.936000
GAL000025,George Hooks,George,,Hooks,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/HooksGeorge24.jpg,2011-10-07 20:03:10.151000,2013-01-09 00:02:34.377000
GAL000026,Bill Jackson,Bill,,Jackson,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/JacksonWilliam26.jpg,2011-10-07 20:03:10.162000,2016-12-27 23:52:24.573000
GAL000032,Barry Loudermilk,Barry,,Loudermilk,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/LoudermilkBarry156.jpg,2011-10-07 20:03:10.230000,2014-11-05 03:18:04.241000
GAL000037,Jack Murphy,Jack,,Murphy,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/MurphyJack32.jpg,2011-10-07 20:03:10.311000,2015-01-06 21:49:55.188000
GAL000039,Miriam Paris,Miriam,,Paris,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/ParisMiriam794.jpg,2011-10-07 20:03:10.337000,2013-01-09 00:02:34.370000
GAL000040,Ronald B. Ramsey,Ronald,,"Ramsey, Sr.",,,False,ga,,,,"http://www.senate.ga.gov/SiteCollectionImages/Ramsey,%20Sr.Ronald36.jpg",2011-10-07 20:03:10.350000,2016-07-26 23:59:17.984000
GAL000041,Chip Rogers,Chip,,Rogers,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/RogersChip38.jpg,2011-10-07 20:03:10.362000,2013-01-14 16:13:11.284000
GAL000045,Cecil Staton,Cecil,,Staton,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/StatonCecil44.jpg,2011-10-07 20:03:10.405000,2015-01-06 21:49:55.185000
GAL000047,Doug Stoner,Doug,,Stoner,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/StonerDoug45.jpg,2011-10-07 20:03:10.426000,2013-01-09 00:02:34.379000
GAL000050,Steve Thompson,Steve,,Thompson,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/ThompsonSteve51.jpg,2011-10-07 20:03:10.457000,2015-01-06 21:49:55.190000
GAL000052,Ross Tolleson,Ross,,Tolleson,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/TollesonRoss52.jpg,2011-10-07 20:03:10.478000,2016-07-26 23:59:17.985000
GAL000054,Tommie Williams,Tommie,,Williams,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/WilliamsTommie56.jpg,2011-10-07 20:03:10.499000,2016-12-27 23:52:24.579000
GAL000055,Roberta Abdul-Salaam,Roberta,,Abdul-Salaam,,,False,ga,,,,,2011-10-07 20:03:10.510000,2013-01-09 00:02:34.123000
GAL000057,Stephen Allison,Stephen,,Allison,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/AllisonStephen726.jpg,2011-10-07 20:03:10.531000,2016-12-27 23:52:24.563000
GAL000058,Amos Amerson,Amos,,Amerson,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/AmersonAmos59.jpg,2011-10-07 20:03:10.541000,2013-01-09 00:02:34.124000
GAL000059,Lee Anderson,Lee,,Anderson,,,False,ga,,,,,2011-10-07 20:03:10.552000,2013-01-09 00:02:34.125000
GAL000060,Kathy Ashe,Kathy,,Ashe,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/AsheKathy60.jpg,2011-10-07 20:03:10.563000,2013-01-09 00:02:34.126000
GAL000061,Alex Atwood,Alex,,Atwood,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/AtwoodAlex788.jpg,2011-10-07 20:03:10.573000,2016-12-27 23:52:24.513000
GAL000063,Glenn Baker,Glenn,,Baker,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/bakerGlenn.jpg,2011-10-07 20:03:10.607000,2013-01-09 00:02:34.127000
GAL000065,Timothy Bearden,Timothy,,Bearden,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/beardenTim.jpg,2011-10-07 20:03:10.628000,2013-01-09 00:02:34.380000
GAL000067,Simone Bell,Simone,,Bell,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/BellSimone735.jpg,2011-10-07 20:03:10.655000,2016-07-26 23:59:17.978000
GAL000068,Stephanie Stuckey Benfield,Stephanie Stuckey,,Benfield,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/benfieldStephanie.jpg,2011-10-07 20:03:10.665000,2013-01-09 00:02:34.129000
GAL000072,Paulette Rakestraw-Braddock,Paulette,,Braddock,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/BraddockPaulette758.jpg,2011-10-07 20:03:10.708000,2015-01-06 21:49:55.171000
GAL000074,Tyrone Brooks,Tyrone,,Brooks,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/BrooksTyrone68.jpg,2011-10-07 20:03:10.729000,2016-07-26 23:59:17.979000
GAL000076,Bob Bryant,Bob,,Bryant,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/BryantBob70.jpg,2011-10-07 20:03:10.752000,2016-07-26 23:59:17.975000
GAL000079,Charlice Byrd,Charlice,,Byrd,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/byrdCharlice.jpg,2011-10-07 20:03:10.783000,2013-01-09 00:02:34.138000
GAL000082,Mickey Channell,Mickey,,Channell,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/ChannellMickey80.jpg,2011-10-07 20:03:10.814000,2015-02-23 18:45:36.259000
GAL000083,Mike Cheokas,Mike,,Cheokas,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/CheokasMike81.jpg,2011-10-07 20:03:10.825000,2016-12-27 23:52:24.537000
GAL000084,Josh Clark,Josh,,Clark,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/ClarkJosh772.jpg,2011-10-07 20:03:10.835000,2015-01-06 21:49:55.179000
GAL000085,Valerie Clark,Valerie,,Clark,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/ClarkValerie775.jpg,2011-10-07 20:03:10.846000,2016-12-27 23:52:24.570000
GAL000087,Doug Collins,Doug,,Collins,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/collinsDoug.jpg,2011-10-07 20:03:10.869000,2013-01-09 00:02:34.143000
GAL000091,Rick Crawford,Rick,,Crawford,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/crawfordRick.jpg,2011-10-07 20:03:10.910000,2013-01-09 00:02:34.146000
GAL000092,Steve Davis,Steve,,Davis,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/davisSteve.jpg,2011-10-07 20:03:10.920000,2013-01-09 00:02:34.147000
GAL000093,Dee Dawkins-Haigler,Dee,,Dawkins-Haigler,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/Dawkins-HaiglerDee236.jpg,2011-10-07 20:03:10.930000,2016-12-27 23:52:24.524000
GAL000097,Tom Dickson,Tom,,Dickson,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/DicksonTom93.jpg,2011-10-07 20:03:10.977000,2016-12-27 23:52:24.566000
GAL000098,Elly Dobbs,Elly,,Dobbs,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/dobbsElly.jpg,2011-10-07 20:03:10.987000,2013-01-09 00:02:34.151000
GAL000101,Mike Dudgeon,Mike,,Dudgeon,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/DudgeonMike759.jpg,2011-10-07 20:03:11.018000,2016-12-27 23:52:24.538000
GAL000103,Delvis Dutton,Delvis,,Dutton,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/DuttonDelvis785.jpg,2011-10-07 20:03:11.038000,2015-01-06 21:49:55.163000
GAL000107,Carl Von Epps,Carl,,Epps,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/EppsCarl99.jpg,2011-10-07 20:03:11.158000,2015-01-06 21:49:55.158000
GAL000109,Hugh Floyd,Hugh,,Floyd,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/FloydHugh102.jpg,2011-10-07 20:03:11.183000,2016-12-27 23:52:24.529000
GAL000110,Virgil Fludd,Virgil,,Fludd,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/FluddVirgil104.jpg,2011-10-07 20:03:11.193000,2016-12-27 23:52:24.572000
GAL000112,Carol Fullerton,Carol,,Fullerton,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/FullertonCarol737.jpg,2011-10-07 20:03:11.214000,2015-01-06 21:49:55.162000
GAL000114,Harry Geisinger,Harry,,Geisinger,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/GeisingerHarry110.jpg,2011-10-07 20:03:11.235000,2016-07-26 23:59:17.969000
GAL000118,Mark Hamilton,Mark,,Hamilton,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HamiltonMark116.jpg,2011-10-07 20:03:11.276000,2016-07-26 23:59:17.982000
GAL000119,Bob Hanner,Bob,,Hanner,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/hannerBob.jpg,2011-10-07 20:03:11.288000,2013-01-09 00:02:34.171000
GAL000120,Ben Harbin,Ben,,Harbin,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HarbinBen118.jpg,2011-10-07 20:03:11.298000,2016-07-26 23:59:17.973000
GAL000122,Michael Harden,Michael,,Harden,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/hardenMichael.jpg,2011-10-07 20:03:11.319000,2013-01-09 00:02:34.175000
GAL000125,Mark Hatfield,Mark,,Hatfield,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/hatfieldMark.jpg,2011-10-07 20:03:11.350000,2013-01-09 00:02:34.177000
GAL000126,Keith Heard,Keith,,Heard,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/heardKeith.jpg,2011-10-07 20:03:11.360000,2013-01-09 00:02:34.299000
GAL000127,Joe Heckstall,Joe,,Heckstall,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/heckstallJoe.jpg,2011-10-07 20:03:11.371000,2013-01-09 00:02:34.178000
GAL000128,Bill Hembree,Bill,,Hembree,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/hembreeBill.jpg,2011-10-07 20:03:11.381000,2013-01-09 00:02:34.179000
GAL000130,Calvin Hill,Calvin,,Hill,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HillCalvin125.jpg,2011-10-07 20:03:11.405000,2014-02-11 15:04:31.927000
GAL000133,Doug Holt,Doug,,Holt,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HoltDoug128.jpg,2011-10-07 20:03:11.436000,2015-01-06 21:49:55.157000
GAL000134,Billy Horne,Billy,,Horne,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/horneBilly.jpg,2011-10-07 20:03:11.447000,2013-01-09 00:02:34.185000
GAL000137,Sistie Hudson,Sistie,,Hudson,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HudsonSistie132.jpg,2011-10-07 20:03:11.478000,2013-01-09 00:02:34.186000
GAL000140,Mike Jacobs,Mike,,Jacobs,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/JacobsMike135.jpg,2011-10-07 20:03:11.510000,2016-07-26 23:59:17.970000
GAL000141,Lynmore James,Lynmore,,James,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/jamesLynmore.jpg,2011-10-07 20:03:11.521000,2013-01-09 00:02:34.189000
GAL000143,Sean Jerguson,Sean,,Jerguson,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/jergusonSean.jpg,2011-10-07 20:03:11.541000,2013-01-09 00:02:34.194000
GAL000144,Terry Johnson,Terry,,Johnson,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/johnsonTerry.jpg,2011-10-07 20:03:11.552000,2013-01-09 00:02:34.195000
GAL000147,Darryl Jordan,Darryl,,Jordan,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/JordanDarryl144.jpg,2011-10-07 20:03:11.583000,2016-12-27 23:52:24.522000
GAL000148,Margaret Kaiser,Margaret,,Kaiser,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/KaiserMargaret145.jpg,2011-10-07 20:03:11.593000,2016-12-27 23:52:24.534000
GAL000150,"E. Culver ""Rusty"" Kidd","E. Culver ""Rusty""",,Kidd,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/KiddRusty742.jpg,2011-10-07 20:03:11.615000,2016-12-27 23:52:24.526000
GAL000152,Roger Lane,Roger,,Lane,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/laneRoger.jpg,2011-10-07 20:03:11.636000,2013-01-09 00:02:34.201000
GAL000153,Edward Lindsey,Edward,,Lindsey,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/LindseyEdward154.jpg,2011-10-07 20:03:11.646000,2015-01-06 21:49:55.178000
GAL000154,Ralph Long,Ralph,,Long,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/longRalph.jpg,2011-10-07 20:03:11.657000,2013-01-09 00:02:34.202000
GAL000155,Billy Maddox,Billy,,Maddox,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/maddoxBilly.jpg,2011-10-07 20:03:11.667000,2013-01-09 00:02:34.203000
GAL000156,Gene Maddox,Gene,,Maddox,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/maddoxGene.jpg,2011-10-07 20:03:11.678000,2013-01-09 00:02:34.204000
GAL000157,Judy Manning,Judy,,Manning,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/manningJudy.jpg,2011-10-07 20:03:11.688000,2013-01-09 00:02:34.205000
GAL000161,Rahn Mayo,Rahn,,Mayo,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/MayoRahn730.jpg,2011-10-07 20:03:11.730000,2016-12-27 23:52:24.541000
GAL000162,Tony McBrayer,Tony,,McBrayer,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/mcbrayerTony.jpg,2011-10-07 20:03:11.740000,2013-01-09 00:02:34.209000
GAL000164,Doug McKillip,Doug,,McKillip,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/mckillipDoug.jpg,2011-10-07 20:03:11.761000,2013-01-09 00:02:34.211000
GAL000166,James Mills,James,,Mills,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/millsJames.jpg,2011-10-07 20:03:11.782000,2013-01-09 00:02:34.212000
GAL000168,Alisha Morgan,Alisha,,Morgan,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/MorganAlisha173.jpg,2011-10-07 20:03:11.803000,2015-01-06 21:49:55.175000
GAL000171,Quincy Murphy,Quincy,,Murphy,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/MurphyQuincy177.jpg,2011-10-07 20:03:11.835000,2013-12-16 15:04:08.889000
GAL000172,Jay Neal,Jay,,Neal,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/NealJay178.jpg,2011-10-07 20:03:11.845000,2014-02-11 15:02:25.336000
GAL000173,Yasmin Neal,Yasmin,,Neal,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/nealYasmin.jpg,2011-10-07 20:03:11.856000,2013-01-09 00:02:34.217000
GAL000177,Larry O’Neal,Larry,,O`Neal,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/O`NealLarry180.jpg,2011-10-07 20:03:11.897000,2016-07-26 23:59:17.981000
GAL000178,B.J. Pak,B.J.,,Pak,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/PakB.J.774.jpg,2011-10-07 20:03:11.908000,2016-12-27 23:52:24.517000
GAL000186,Ann Purcell,Ann,,Purcell,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/purcellAnn.jpg,2011-10-07 20:03:12.009000,2013-01-09 00:02:34.230000
GAL000188,Matt Ramsey,Matt,,Ramsey,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RamseyMatt190.jpg,2011-10-07 20:03:12.030000,2016-12-27 23:52:24.535000
GAL000189,Nikki Randall,Nikki,,Randall,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RandallNikki191.jpg,2011-10-07 20:03:12.040000,2016-12-27 23:52:24.539000
GAL000190,Barbara Massey Reece,Barbara Massey,,Reece,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/reeceBarbaraMassey.jpg,2011-10-07 20:03:12.051000,2013-01-09 00:02:34.232000
GAL000191,Tom Rice,Tom,,Rice,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RiceTom194.jpg,2011-10-07 20:03:12.061000,2016-12-27 23:52:24.568000
GAL000192,Lynne Riley,Lynne,,Riley,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RileyLynne763.jpg,2011-10-07 20:03:12.071000,2015-01-06 21:49:55.176000
GAL000193,Jay Roberts,Jay,,Roberts,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RobertsJay195.jpg,2011-10-07 20:03:12.082000,2016-07-26 23:59:17.980000
GAL000194,Carl Rogers,Carl,,Rogers,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/RogersCarl196.jpg,2011-10-07 20:03:12.092000,2016-12-27 23:52:24.520000
GAL000196,Martin Scott,Martin,,Scott,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/scottMartin.jpg,2011-10-07 20:03:12.113000,2013-01-09 00:02:34.236000
GAL000200,Donna Sheldon,Donna,,Sheldon,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/SheldonDonna205.jpg,2011-10-07 20:03:12.156000,2014-11-05 03:18:04.238000
GAL000201,Barbara Sims,Barbara,,Sims,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/SimsBarbara207.jpg,2011-10-07 20:03:12.167000,2016-12-27 23:52:24.518000
GAL000202,Chuck Sims,Chuck,,Sims,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/SimsChuck208.jpg,2011-10-07 20:03:12.177000,2015-01-06 21:49:55.168000
GAL000203,Earnest Smith,Earnest,,Smith,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/SmithEarnest731.jpg,2011-10-07 20:03:12.187000,2016-12-27 23:52:24.527000
GAL000204,Kip Smith,Kip,,Smith,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/smithKip.jpg,2011-10-07 20:03:12.198000,2013-01-09 00:02:34.264000
GAL000207,Tommy Smith,Tommy,,Smith,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/smithTommy.jpg,2011-10-07 20:03:12.229000,2013-01-09 00:02:34.273000
GAL000213,Willie Talton,Willie,,Talton,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/TaltonWillie221.jpg,2011-10-07 20:03:12.293000,2015-01-06 21:49:55.160000
GAL000216,Rashad Taylor,Rashad,,Taylor,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/taylorRashad.jpg,2011-10-07 20:03:12.324000,2013-01-09 00:02:34.284000
GAL000219,Brian Thomas,Brian,,Thomas,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/ThomasBrian223.jpg,2011-10-07 20:03:12.358000,2014-11-05 03:18:04.239000
GAL000220,Gloria Tinubu,Gloria,,Tinubu,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/tinubuGloria.jpg,2011-10-07 20:03:12.368000,2013-01-09 00:02:34.286000
GAL000221,Len Walker,Len,,Walker,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/walkerlen.jpg,2011-10-07 20:03:12.378000,2013-01-09 00:02:34.287000
GAL000224,Tom Weldon,Tom,,Weldon,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/WeldonTom732.jpg,2011-10-07 20:03:12.410000,2016-12-27 23:52:24.569000
GAL000226,Joe Wilkinson,Joe,,Wilkinson,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/WilkinsonJoe228.jpg,2011-10-07 20:03:12.431000,2016-12-27 23:52:24.530000
GAL000231,Roger Williams,Roger,,Williams,,,False,ga,,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/williamsRoger.jpg,2011-10-07 20:03:12.483000,2013-01-09 00:02:34.292000
GAL000233,John Yates,John,,Yates,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/YatesJohn235.jpg,2011-10-07 20:03:12.504000,2016-12-27 23:52:24.531000
GAL000237,Mike Crane,Mike,,Crane,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/CraneMike798.jpg,2011-12-16 00:06:36.767000,2016-12-27 23:52:24.578000
GAL000241,Tonya Anderson,Tonya,,Anderson,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/AndersonTonya807.jpg,2013-01-09 00:02:31.478000,2016-07-26 23:59:17.972000
GAL000261,Jeff Chapman,Jeff,,Chapman,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/ChapmanJeff8.jpg,2013-01-09 00:02:31.793000,2015-01-06 21:49:55.166000
GAL000293,Charles Gregory,Charles,,Gregory,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/GregoryCharles822.jpg,2013-01-09 00:02:32.409000,2015-01-06 21:49:55.174000
GAL000301,Dustin Hightower,Dustin,,Hightower,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/HightowerDustin800.jpg,2013-01-09 00:02:32.515000,2016-12-27 23:52:24.525000
GAL000314,LaDawn Jones,LaDawn,,Jones,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/JonesLaDawn824.jpg,2013-01-09 00:02:32.712000,2016-12-27 23:52:24.533000
GAL000326,Ronnie Mabra,Ronnie,,Mabra,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/MabraRonnie827.jpg,2013-01-09 00:02:32.858000,2016-12-27 23:52:24.542000
GAL000391,Sam Moore,Sam,,Moore,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/MooreSam848.jpg,2014-02-11 02:11:13.204000,2015-01-06 21:49:55.172000
GAL000434,Taylor Bennett,Taylor,,Bennett,,,False,ga,,,,http://www.house.ga.gov/SiteCollectionImages/BennettTaylor2878.jpg,2015-08-29 05:37:13.803000,2016-12-27 23:52:24.565000
GAL000439,JaNice VanNess,JaNice,,VanNess,,,False,ga,,,,http://www.senate.ga.gov/SiteCollectionImages/VanNessJaNice4877.jpg,2016-01-05 06:53:29.746000,2016-12-27 23:52:24.576000
GAL000062,Rick Austin,Rick,,Austin,,,False,ga,lower,,,http://www1.legis.ga.gov/legis/2011_12/house/images/members_web_images/austinRick.jpg,2011-10-07 20:03:10.584000,2012-12-07 14:57:45.744000
GAL000056,Stacey Abrams,Stacey,,Abrams,,,True,ga,lower,89,Democratic,http://www.house.ga.gov/SiteCollectionImages/AbramsStacey58.jpg,2011-10-07 20:03:10.520000,2017-06-01 06:26:51.758000
GAL000064,Paul Battles,Paul,,Battles,,,True,ga,lower,15,Republican,http://www.house.ga.gov/SiteCollectionImages/BattlesPaul734.jpg,2011-10-07 20:03:10.618000,2017-06-01 06:26:51.212000
GAL000066,Sharon Beasley-Teague,Sharon,,Beasley-Teague,,,True,ga,lower,65,Democratic,http://www.house.ga.gov/SiteCollectionImages/Beasley-TeagueSharon63.jpg,2011-10-07 20:03:10.644000,2017-06-01 06:26:51.684000
GAL000069,Tommy Benton,Tommy,,Benton,,,True,ga,lower,31,Republican,http://www.house.ga.gov/SiteCollectionImages/BentonTommy65.jpg,2011-10-07 20:03:10.676000,2017-06-01 06:26:51.975000
GAL000070,James Beverly,James,,Beverly,,,True,ga,lower,143,Democratic,http://www.house.ga.gov/SiteCollectionImages/BeverlyJames793.jpg,2011-10-07 20:03:10.686000,2017-06-01 06:26:51.530000
GAL000073,Buzz Brockway,Buzz,,Brockway,,,True,ga,lower,102,Republican,http://www.house.ga.gov/SiteCollectionImages/BrockwayBuzz773.jpg,2011-10-07 20:03:10.719000,2017-06-01 06:26:51.982000
GAL000075,Roger Bruce,Roger,,Bruce,,,True,ga,lower,61,Democratic,http://www.house.ga.gov/SiteCollectionImages/BruceRoger69.jpg,2011-10-07 20:03:10.739000,2017-06-01 06:26:51.681000
